Province,District,Zone,City/Area,Club Name,Type
Ontario,District 1,Zone F,St. Thomas,Kinsmen Club of St. Thomas,Kinsmen
Ontario,District 1,Zone F,Tillsonburg,Kinette Club of Tillsonburg,Kinette
Ontario,District 1,Zone F,Tillsonburg,Kinsmen Club of Tillsonburg,Kinsmen
Ontario,District 1,Zone G,Blenheim,Kinsmen Club of Blenheim,Kinsmen
Ontario,District 1,Zone G,Chatham,Kinsmen Club of Chatham,Kinsmen
Ontario,District 1,Zone G,Dover,Kinsmen Club of Dover,Kinsmen
Ontario,District 1,Zone G,Dresden,Kinsmen Club of Dresden,Kinsmen
Ontario,District 1,Zone G,Merlin & Area,Kinsmen Club of Merlin & Area,Kinsmen
Ontario,District 1,Zone G,Sarnia,Kinsmen Club of Sarnia,Kinsmen
Ontario,District 1,Zone G,Tilbury & District,Kinsmen Club of Tilbury & District,Kinsmen
Ontario,District 1,Zone G,Wallaceburg,Kinsmen Club of Wallaceburg,Kinsmen
Ontario,District 1,Zone H,Harrow,Kinsmen Club of Harrow,Kinsmen
Ontario,District 1,Zone H,Leamington,Kinsmen Club of Leamington,Kinsmen
Ontario,District 1,Zone H,Windsor,Kin Club of Windsor,Kin
Ontario,District 1,Zone J,Chesley,Kinette Club of Chesley,Kinette
Ontario,District 1,Zone J,Chesley,Kinsmen Club of Chesley,Kinsmen
Ontario,District 1,Zone J,Teeswater & District,Kinsmen Club of Teeswater & District,Kinsmen
Ontario,District 1,Zone J,Walkerton,Kinette Club of Walkerton,Kinette
Ontario,District 1,Zone J,Walkerton,Kinsmen Club of Walkerton,Kinsmen
Ontario,District 1,Zone K,Clinton & District,Kinette Club of Clinton & District,Kinette
Ontario,District 1,Zone K,Clinton & District,Kinsmen Club of Clinton & District,Kinsmen
Ontario,District 1,Zone K,Goderich,Kinette Club of Goderich,Kinette
Ontario,District 1,Zone K,Goderich,Kinsmen Club of Goderich,Kinsmen
Ontario,District 1,Zone K,Hensall & District,Kinette Club of Hensall & District,Kinette
Ontario,District 1,Zone K,Hensall & District,Kinsmen Club of Hensall & District,Kinsmen
Ontario,District 1,Zone K,Mitchell & Area,Kin Club of Mitchell & Area,Kin
Ontario,District 1,Zone K,St. Marys,Kinette Club of St. Marys,Kinette
Ontario,District 1,Zone K,St. Marys,Kinsmen Club of St. Marys,Kinsmen
Ontario,District 1,Zone K,Stratford,Kinsmen Club of Stratford,Kinsmen
Ontario,District 2,Zone A,Flin Flon,Flin Flon Kinette Club,Kinette
Ontario,District 2,Zone A,Flin Flon,Flin Flon Kinsmen Club,Kinsmen
Ontario,District 2,Zone A,The Pas,The Pas Kinette Club,Kinette
Ontario,District 2,Zone A,The Pas,The Pas Kinsmen Club,Kinsmen
Ontario,District 2,Zone A,Thompson,Thompson Kin Club,Kin
Ontario,District 2,Zone B,All Saints,All Saints Kinsmen Club,Kinsmen
Ontario,District 2,Zone B,Oakbank-Springfield,Oakbank-Springfield Kinsmen Club,Kinsmen
Ontario,District 2,Zone B,Stonewall,Stonewall Kinette Club,Kinette
Ontario,District 2,Zone B,Stonewall,Stonewall Kinsmen Club,Kinsmen
Ontario,District 2,Zone B,Winnipeg,Winnipeg Kinsmen Club,Kinsmen
Ontario,District 2,Zone C,Dryden,Dryden Kinette Club,Kinette
Ontario,District 2,Zone C,Dryden,Dryden Kinsmen Club,Kinsmen
Ontario,District 2,Zone C,Kenora,Kenora Kinsmen Club,Kinsmen
Ontario,District 2,Zone C,Vermilion Bay,Vermilion Bay Kinsmen Club,Kinsmen
Ontario,District 2,Zone D,Thunder Bay – Fort City,Thunder Bay Fort City Kinette Club,Kinette
Ontario,District 2,Zone D,Thunder Bay – Hill City,Thunder Bay Hill City Kinette Club,Kinette
Ontario,District 2,Zone D,Thunder Bay – Hill City,Thunder Bay Hill City Kinsmen Club,Kinsmen
Ontario,District 2,Zone E,Carman,Carman Kinette Club,Kinette
Ontario,District 2,Zone E,Gladstone,Gladstone Kinsmen Club,Kinsmen
Ontario,District 2,Zone E,MacGregor District,MacGregor District Kinette Club,Kinette
Ontario,District 2,Zone E,Manitou,Manitou Kinsmen Club,Kinsmen
Ontario,District 2,Zone E,Pilot Mound,Pilot Mound Kinsmen Club,Kinsmen
Ontario,District 2,Zone E,Treherne,Treherne Kinette Club,Kinette
Ontario,District 2,Zone E,Treherne,Treherne Kinsmen Club,Kinsmen
Ontario,District 2,Zone F,Boissevain,Boissevain Kinette Club,Kinette
Ontario,District 2,Zone F,Boissevain,Boissevain Kinsmen Club,Kinsmen
Ontario,District 2,Zone F,Brandon,Brandon Kinette Club,Kinette
Ontario,District 2,Zone F,Brandon,Brandon Kinsmen Club,Kinsmen
Ontario,District 2,Zone F,Killarney,Killarney Kinsmen Club,Kinsmen
Ontario,District 2,Zone F,Neepawa,Neepawa Kin Club,Kin
Ontario,District 2,Zone G,Dauphin,Dauphin Kin Club,Kin
Ontario,District 2,Zone G,Grandview,Grandview Kinsmen Club,Kinsmen
Ontario,District 2,Zone G,Ste. Rose,Ste. Rose Kinsmen Club,Kinsmen
Ontario,District 2,Zone G,Swan River,Swan River Kinsmen Club,Kinsmen
